omitted_industry,annualized_arithmetic_return,annualized_sharpe,max_drawdown,hac_mean_t_stat
Aero,0.0321788679,0.1840977211,-0.5523371414,0.9585201875
Agric,0.0288566038,0.1640402313,-0.5527721642,0.8681066496
Autos,0.0310354717,0.1800868754,-0.5475775024,0.9452131733
Banks,0.0338528302,0.1944713538,-0.5422672895,1.0261057654
Beer,0.0309203774,0.1777409392,-0.5510004884,0.9179969616
BldMt,0.0284992453,0.1610497208,-0.5582909868,0.8323121685
Books,0.0307101887,0.1753120984,-0.5524295074,0.9253866584
Boxes,0.0293479245,0.1658064228,-0.5531292541,0.8669303931
BusSv,0.0290671698,0.1651473059,-0.5549520125,0.8665992505
Chems,0.0318075472,0.1805758660,-0.5440251132,0.9401563258
Chips,0.0303283019,0.1789816593,-0.5573040142,0.9206653264
Clths,0.0288335849,0.1629779308,-0.5580023791,0.8460494555
Cnstr,0.0276981132,0.1563588376,-0.5654965662,0.8098741432
Coal,0.0149449057,0.0887791945,-0.5014852697,0.4803753249
Drugs,0.0320916981,0.1839477431,-0.5446145426,0.9549883708
ElcEq,0.0321867925,0.1824020183,-0.5495381798,0.9518880229
FabPr,0.0334754717,0.1939082480,-0.5158479509,1.0415296601
Fin,0.0308566038,0.1744708697,-0.5732551885,0.9107429219
Food,0.0263871698,0.1513604372,-0.5532563121,0.7827372222
Fun,0.0283826415,0.1630952742,-0.5629482576,0.8626695416
Gold,0.0305452830,0.1795563841,-0.5267587263,0.9273027097
Guns,0.0289630189,0.1698334671,-0.5502454796,0.8842015681
Hardw,0.0278362264,0.1617528661,-0.5590933862,0.8416564035
Hlth,0.0286815094,0.1618112236,-0.5598197831,0.8342409564
Hshld,0.0300562264,0.1716693150,-0.5492044667,0.8985581283
Insur,0.0310252830,0.1760043981,-0.5599931605,0.9152944045
LabEq,0.0295260377,0.1699558150,-0.5525895071,0.8809203716
Mach,0.0290101887,0.1650219084,-0.5471502368,0.8633774572
Meals,0.0330954717,0.1882680544,-0.5500725541,0.9777878019
MedEq,0.0283332075,0.1599120965,-0.5486811256,0.8368363026
Mines,0.0325788679,0.1877743837,-0.5082207081,0.9858569840
Oil,0.0252637736,0.1444857968,-0.5570345154,0.7631881362
Other,0.0322320755,0.1838613830,-0.5544536292,0.9652778795
Paper,0.0295694340,0.1672693547,-0.5591717865,0.8753925123
PerSv,0.0295826415,0.1678851433,-0.5634515094,0.8708707755
RlEst,0.0333973585,0.1935856119,-0.5473349810,1.0130088062
Rtail,0.0325992453,0.1864140562,-0.5527456413,0.9693597688
Rubbr,0.0307924528,0.1744809680,-0.5641322212,0.9030955559
Ships,0.0299649057,0.1715685390,-0.5540244516,0.9041253098
Smoke,0.0332739623,0.1917895518,-0.5491316278,0.9930408496
Soda,0.0363981132,0.2082269213,-0.5528425410,1.0861815388
Softw,0.0308509434,0.1801152947,-0.5556785128,0.9261400785
Steel,0.0233618868,0.1365689997,-0.5447136510,0.7118557497
Telcm,0.0276094340,0.1575512925,-0.5545096577,0.8200453700
Toys,0.0274720755,0.1551715906,-0.5513210001,0.8074068509
Trans,0.0319935849,0.1810528353,-0.5408371766,0.9513821034
Txtls,0.0315358491,0.1858551428,-0.5149304460,0.9780068072
Util,0.0345192453,0.1972099389,-0.5413369129,1.0262773618
Whlsl,0.0277766038,0.1561251544,-0.5553700837,0.8120473977
