period,strategy,start,end,months,annualized_arithmetic_return,annualized_volatility,annualized_sharpe,cagr,max_drawdown,best_month,worst_month,positive_month_fraction,skewness,excess_kurtosis,annualized_traded_notional,hac_mean_t_stat
development,fama_french_momentum_factor,1970-07,1984-12,174,0.1011448276,0.1355097035,0.7464028403,0.0959193623,-0.2024579816,0.1515000000,-0.1380000000,0.6264367816,-0.4959413578,2.3981586309,,3.0542161080
development,industry_momentum_gross,1970-07,1984-12,174,0.0948620690,0.1607045427,0.5902886586,0.0850754866,-0.2912455261,0.1366000000,-0.1680600000,0.6091954023,-0.3699456832,1.3300747330,10.1517241379,2.1064263482
development,industry_momentum_net_10bps,1970-07,1984-12,174,0.0847103448,0.1608904845,0.5265093526,0.0741446208,-0.3222225294,0.1364000000,-0.1690600000,0.5977011494,-0.3617590104,1.3217906005,10.1517241379,1.8706550585
full,fama_french_momentum_factor,1970-07,2026-06,672,0.0710928571,0.1497414057,0.4747708679,0.0610423260,-0.5784912381,0.1802000000,-0.3436000000,0.6145833333,-1.2989224970,9.4396231891,,3.4701167973
full,industry_momentum_gross,1970-07,2026-06,672,0.0750432143,0.1599839925,0.4690670180,0.0636962572,-0.5423988737,0.1666000000,-0.3498100000,0.5714285714,-0.7615288694,5.8774502766,10.4892857143,3.4041568722
full,industry_momentum_net_10bps,1970-07,2026-06,672,0.0645539286,0.1600481183,0.4033407531,0.0526271845,-0.5553700837,0.1654000000,-0.3506100000,0.5595238095,-0.7573830267,5.8638115797,10.4892857143,2.9206775143
test,fama_french_momentum_factor,2000-01,2026-06,318,0.0293547170,0.1748916078,0.1678452006,0.0131907667,-0.5784912381,0.1802000000,-0.3436000000,0.5786163522,-1.4716214919,9.4148148490,,0.8744846197
test,industry_momentum_gross,2000-01,2026-06,318,0.0411430189,0.1767027761,0.2328374222,0.0251581797,-0.5423988737,0.1666000000,-0.3498100000,0.5251572327,-0.9806241268,7.1860470623,10.7698113208,1.2147949471
test,industry_momentum_net_10bps,2000-01,2026-06,318,0.0303732075,0.1767642849,0.1718288712,0.0141681196,-0.5553700837,0.1654000000,-0.3506100000,0.5094339623,-0.9790209135,7.1686262987,10.7698113208,0.8961500227
validation,fama_french_momentum_factor,1985-01,1999-12,180,0.1157800000,0.1078845533,1.0731842184,0.1157364922,-0.1570645762,0.1312000000,-0.0888000000,0.6666666667,-0.1780465924,1.7791066621,,3.7114242429
validation,industry_momentum_gross,1985-01,1999-12,180,0.1157753333,0.1238865524,0.9345270414,0.1137233165,-0.1547178331,0.1420700000,-0.1268200000,0.6166666667,-0.0067795270,2.2902113796,10.3200000000,3.5585113335
validation,industry_momentum_net_10bps,1985-01,1999-12,180,0.1054553333,0.1237878547,0.8519037151,0.1023940305,-0.1565103001,0.1412700000,-0.1270200000,0.6111111111,0.0045526782,2.2839011337,10.3200000000,3.2326588958
