lookback_months,skip_months,selection_fraction,cost_bps,annualized_arithmetic_return,annualized_volatility,annualized_sharpe,max_drawdown,annualized_traded_notional,hac_mean_t_stat
6,1,0.2000000000,0.0000000000,0.0447837736,0.1691232340,0.2647996525,-0.5050066233,16.4754716981,1.5333737653
6,1,0.2000000000,10.0000000000,0.0283083019,0.1690584135,0.1674468682,-0.5337782709,16.4754716981,0.9686084326
6,1,0.2000000000,25.0000000000,0.0035950943,0.1689861912,0.0212744859,-0.6052233813,16.4754716981,0.1228601688
6,1,0.2000000000,50.0000000000,-0.0375935849,0.1689325950,-0.2225360056,-0.8472908143,16.4754716981,-1.2813744888
6,1,0.3000000000,0.0000000000,0.0245225157,0.1307126568,0.1876062833,-0.4473390730,13.6251572327,1.1036656410
6,1,0.3000000000,10.0000000000,0.0108973585,0.1306334372,0.0834193659,-0.4823452909,13.6251572327,0.4891181211
6,1,0.3000000000,25.0000000000,-0.0095403774,0.1305370368,-0.0730855977,-0.6099839049,13.6251572327,-0.4263768010
6,1,0.3000000000,50.0000000000,-0.0436032704,0.1304363172,-0.3342878071,-0.8223166939,13.6251572327,-1.9337265699
9,1,0.2000000000,0.0000000000,0.0441211321,0.1658377924,0.2660499241,-0.5268414992,12.7924528302,1.5502386140
9,1,0.2000000000,10.0000000000,0.0313286792,0.1656965325,0.1890726304,-0.5480889223,12.7924528302,1.0999204032
9,1,0.2000000000,25.0000000000,0.0121400000,0.1655042195,0.0733516042,-0.5782306911,12.7924528302,0.4256340537
9,1,0.2000000000,50.0000000000,-0.0198411321,0.1652360992,-0.1200774660,-0.7327844156,12.7924528302,-0.6936034393
9,1,0.3000000000,0.0000000000,0.0273937107,0.1318040038,0.2078367114,-0.4085509937,11.0490566038,1.2449296345
9,1,0.3000000000,10.0000000000,0.0163446541,0.1317103291,0.1240954616,-0.4312869878,11.0490566038,0.7415660732
9,1,0.3000000000,25.0000000000,-0.0002289308,0.1315855268,-0.0017397872,-0.4764342753,11.0490566038,-0.0103586999
9,1,0.3000000000,50.0000000000,-0.0278515723,0.1314195430,-0.2119286956,-0.7030790751,11.0490566038,-1.2538658622
12,1,0.2000000000,0.0000000000,0.0411430189,0.1767027761,0.2328374222,-0.5423988737,10.7698113208,1.2147949471
12,1,0.2000000000,10.0000000000,0.0303732075,0.1767642849,0.1718288712,-0.5553700837,10.7698113208,0.8961500227
12,1,0.2000000000,25.0000000000,0.0142184906,0.1768726481,0.0803882947,-0.5870765290,10.7698113208,0.4189838897
12,1,0.2000000000,50.0000000000,-0.0127060377,0.1770960949,-0.0717465721,-0.6902796468,10.7698113208,-0.3734699431
12,1,0.3000000000,0.0000000000,0.0354779874,0.1360990594,0.2606776827,-0.4447743716,9.1471698113,1.3918143245
12,1,0.3000000000,10.0000000000,0.0263308176,0.1361543180,0.1933895156,-0.4503797167,9.1471698113,1.0317667292
12,1,0.3000000000,25.0000000000,0.0126100629,0.1362487829,0.0925517471,-0.4776845027,9.1471698113,0.4931955684
12,1,0.3000000000,50.0000000000,-0.0102578616,0.1364370222,-0.0751838575,-0.5790069839,9.1471698113,-0.3998052872
18,1,0.2000000000,0.0000000000,0.0177622642,0.1782619538,0.0996413636,-0.5306376513,9.3207547170,0.5477230290
18,1,0.2000000000,10.0000000000,0.0084415094,0.1781943989,0.0473724735,-0.5491882922,9.3207547170,0.2602315564
18,1,0.2000000000,25.0000000000,-0.0055396226,0.1781057188,-0.0311030026,-0.6115985347,9.3207547170,-0.1706775593
18,1,0.2000000000,50.0000000000,-0.0288415094,0.1779917115,-0.1620384971,-0.7707388693,9.3207547170,-0.8874635870
18,1,0.3000000000,0.0000000000,0.0085622642,0.1360611323,0.0629295377,-0.5631564692,7.6377358491,0.3242194203
18,1,0.3000000000,10.0000000000,0.0009245283,0.1359808386,0.0067989601,-0.5982194100,7.6377358491,0.0350271208
18,1,0.3000000000,25.0000000000,-0.0105320755,0.1358700023,-0.0775158261,-0.6472177959,7.6377358491,-0.3992901482
18,1,0.3000000000,50.0000000000,-0.0296264151,0.1357109544,-0.2183052594,-0.7432503490,7.6377358491,-1.1240255089
